ElapsedTime(s),Battery(%)
103.298,86.987
103.398,86.9903
103.498,86.9936
103.598,86.9969
103.698,87.0002
103.798,87.0035
103.898,87.0068
103.998,87.0101
104.098,87.0134
104.198,87.0167
104.298,87.0201
104.398,87.0234
104.498,87.0267
104.598,87.03
104.698,87.0333
104.798,87.0366
104.898,87.0399
104.998,87.0432
105.098,87.0465
105.198,87.0498
105.298,87.0531
105.398,87.0564
105.498,87.0597
105.598,87.063
105.698,87.0664
105.798,87.0697
105.898,87.073
105.998,87.0763
106.098,87.0796
106.198,87.0829
106.298,87.0862
106.398,87.0895
106.498,87.0928
106.598,87.0961
106.698,87.0994
106.798,87.1027
106.898,87.106
106.998,87.1094
107.098,87.1127
107.198,87.116
107.298,87.1193
107.398,87.1226
107.498,87.1259
107.598,87.1292
107.698,87.1325
107.798,87.1358
107.898,87.1391
107.998,87.1424
108.098,87.1457
108.198,87.149
108.298,87.1524
108.398,87.1557
108.498,87.159
108.598,87.1623
108.698,87.1656
108.798,87.1689
108.898,87.1722
108.998,87.1755
109.098,87.1788
109.198,87.1821
109.298,87.1854
109.398,87.1887
109.498,87.192
109.598,87.1953
109.698,87.1987
109.798,87.202
109.898,87.2053
109.998,87.2086
110.098,87.2119
110.198,87.2152
110.298,87.2185
110.398,87.2218
110.498,87.2251
110.598,87.2284
110.698,87.2317
110.798,87.235
110.898,87.2383
110.998,87.2416
111.098,87.245
111.198,87.2483
111.298,87.2516
111.398,87.2549
111.498,87.2582
111.598,87.2615
111.698,87.2648
111.798,87.2681
111.898,87.2714
111.998,87.2747
112.098,87.278
112.198,87.2813
112.298,87.2847
112.398,87.288
112.498,87.2913
112.598,87.2946
112.698,87.2979
112.798,87.3012
112.898,87.3045
112.998,87.3078
113.098,87.3111
113.198,87.3144
113.298,87.3177
113.398,87.321
113.498,87.3243
113.598,87.3277
113.698,87.331
113.798,87.3343
113.898,87.3376
113.998,87.3409
114.098,87.3442
114.198,87.3475
114.298,87.3508
114.398,87.3541
114.498,87.3574
114.598,87.3607
114.698,87.364
114.798,87.3673
114.898,87.3706
114.998,87.374
115.098,87.3773
115.198,87.3806
115.298,87.3839
115.398,87.3872
115.498,87.3905
115.599,87.3938
115.698,87.3971
115.798,87.4004
115.899,87.4037
115.998,87.407
116.098,87.4103
116.198,87.4136
116.298,87.4169
116.398,87.4203
116.499,87.4236
116.598,87.4269
116.698,87.4302
116.798,87.4335
116.898,87.4368
116.998,87.4401
117.098,87.4434
117.199,87.4467
117.298,87.45
117.398,87.4533
117.498,87.4566
117.598,87.4599
117.698,87.4633
117.798,87.4666
117.898,87.4699
117.998,87.4732
118.098,87.4765
118.198,87.4798
118.298,87.4831
118.398,87.4864
118.498,87.4897
118.598,87.493
118.698,87.4963
118.798,87.4996
118.898,87.5029
118.998,87.5063
119.098,87.5096
119.198,87.5129
119.298,87.5162
119.398,87.5195
119.498,87.5228
119.598,87.5261
119.698,87.5294
119.798,87.5327
119.898,87.536
119.998,87.5393
120.098,87.5426
120.198,87.5459
120.298,87.5492
120.398,87.5524
120.498,87.5559
120.598,87.5592
120.698,87.5625
120.798,87.5658
120.898,87.5691
