ElapsedTime(s),Battery(%),DistanceRemaining,,,,
4.29432,99.8924,8.55477,,,,
4.30437,99.8924,8.55477,,,,
4.31439,99.8896,8.55477,,,,
4.32434,99.8896,8.55477,,,,
4.33437,99.8896,8.55477,,,,
4.34442,99.8896,8.55477,,,,
4.35437,99.8896,8.55477,,,,
4.36442,99.8896,8.48406,,,,
4.37439,99.8896,8.48406,,,,
4.38458,99.8896,8.48406,,,,
4.39438,99.8896,8.48406,,,,
4.4044,99.8896,8.48406,,,,
4.41439,99.8867,8.48406,,,,
4.42437,99.8867,8.48406,,,,
4.4344,99.8867,8.48406,,,,
4.44434,99.8867,8.48406,,,,
4.45434,99.8867,8.48406,,,,
4.46451,99.8867,8.48406,,,,
4.47442,99.8867,8.48406,,,,
4.4844,99.8867,8.48406,,,,
4.49433,99.8867,8.48406,,,,
4.50437,99.8867,8.41335,,,,
4.51446,99.8838,8.41335,,,,
4.52453,99.8838,8.41335,,,,
4.53438,99.8838,8.41335,,,,
4.54434,99.8838,8.41335,,,,
4.55453,99.8838,8.46335,,,,
4.56432,99.8838,8.46335,,,,
4.57438,99.8838,8.46335,,,,
4.58439,99.8838,8.39264,,,,
4.59435,99.8838,8.39264,,,,
4.60433,99.8838,8.39264,,,,
4.61437,99.8809,8.39264,,,,
4.62429,99.8809,8.39264,,,,
4.63439,99.8809,8.39264,,,,
4.64433,99.8809,8.39264,,,,
4.65431,99.8809,8.39264,,,,
4.66437,99.8809,8.39264,,,,
4.67438,99.8809,8.39264,,,,
4.68437,99.8809,8.39264,,,,
4.69432,99.8809,8.39264,,,,
4.70434,99.8809,8.39264,,,,
4.71438,99.8781,8.39264,,,,
4.72433,99.8781,8.32193,,,,
4.73436,99.8781,8.32193,,,,
4.74432,99.8781,8.32193,,,,
4.75428,99.8781,8.32193,,,,
4.76437,99.8781,8.32193,,,,
4.7744,99.8781,8.32193,,,,
4.78444,99.8781,8.32193,,,,
4.79441,99.8781,8.32193,,,,
4.80444,99.8781,8.32193,,,,
4.81448,99.8752,8.32193,,,,
4.8244,99.8752,8.32193,,,,
4.8344,99.8752,8.32193,,,,
4.84434,99.8752,8.32193,,,,
4.85433,99.8752,8.32193,,,,
4.86447,99.8752,8.25122,,,,
4.87441,99.8752,8.25122,,,,
4.88436,99.8752,8.25122,,,,
4.89431,99.8752,8.25122,,,,
4.9043,99.8752,8.25122,,,,
4.91441,99.8723,8.25122,,,,
4.92437,99.8723,8.25122,,,,
4.93434,99.8723,8.25122,,,,
4.94431,99.8723,8.25122,,,,
4.95434,99.8723,8.25122,,,,
4.9644,99.8723,8.25122,,,,
