ElapsedTime(s),Battery(%),DistanceRemaining
4.33489,99.865,7.03345
4.34493,99.865,7.03345
4.35483,99.865,7.03345
4.36481,99.865,7.03345
4.37486,99.865,7.03345
4.38488,99.865,7.03345
4.3948,99.8621,7.03345
4.40488,99.8621,7.03345
4.41484,99.8621,7.03345
4.42479,99.8621,7.03345
4.43491,99.8621,7.03345
4.44495,99.8621,6.96274
4.45486,99.8621,6.96274
4.465,99.8621,6.98345
4.47488,99.8621,6.98345
4.48492,99.8621,6.98345
4.4949,99.8592,6.98345
4.5049,99.8592,6.98345
4.51484,99.8592,6.98345
4.52487,99.8592,6.91274
4.53485,99.8592,6.91274
4.54483,99.8592,6.91274
4.55488,99.8592,6.91274
4.56487,99.8592,6.91274
4.57493,99.8592,6.91274
4.5849,99.8592,6.91274
4.59489,99.8563,6.91274
4.60489,99.8563,6.91274
4.61478,99.8563,6.91274
4.62478,99.8563,6.91274
4.63492,99.8563,6.91274
4.64489,99.8563,6.91274
4.65493,99.8563,6.91274
4.66486,99.8563,6.84203
4.67482,99.8563,6.84203
4.68488,99.8563,6.84203
4.6949,99.8535,6.84203
4.70485,99.8535,6.84203
4.71481,99.8535,6.84203
4.72488,99.8535,6.84203
4.73489,99.8535,6.84203
4.74489,99.8535,6.79203
4.75494,99.8535,6.79203
4.76482,99.8535,6.79203
4.77481,99.8535,6.79203
4.78488,99.8535,6.79203
4.79489,99.8506,6.79203
4.8049,99.8506,6.79203
4.81485,99.8506,6.79203
4.82483,99.8506,6.79203
4.83495,99.8506,6.79203
4.8449,99.8506,6.79203
4.8549,99.8506,6.79203
4.86493,99.8506,6.79203
4.87485,99.8506,6.79203
4.88489,99.8506,6.79203
4.89485,99.8477,6.79203
4.90486,99.8477,6.79203
4.9148,99.8477,6.79203
4.92483,99.8477,6.79203
4.93487,99.8477,6.79203
4.94486,99.8477,6.72132
4.95488,99.8477,6.72132
4.96481,99.8477,6.72132
4.9748,99.8477,6.72132
4.98488,99.8477,6.67132
4.99488,99.8448,6.67132
5.00494,99.8448,6.67132
5.0149,99.8448,6.67132
5.02488,99.8448,6.67132
5.03488,99.8448,6.67132
5.04488,99.8448,6.67132
5.05489,99.8448,6.67132
5.06481,99.8448,6.67132
5.07478,99.8448,6.67132
5.08493,99.8448,6.62132
5.09489,99.842,6.62132
5.10487,99.842,6.62132
5.11486,99.842,6.62132
5.12486,99.842,6.62132
5.13493,99.842,6.62132
5.14489,99.842,6.62132
5.15484,99.842,6.62132
5.16481,99.842,6.62132
5.17483,99.842,6.62132
5.1849,99.842,6.57132
5.19488,99.8391,6.57132
5.20491,99.8391,6.57132
5.21491,99.8391,6.57132
5.22483,99.8391,6.57132
5.23493,99.8391,6.57132
5.24492,99.8391,6.57132
5.25488,99.8391,6.57132
5.26484,99.8391,6.57132
5.27484,99.8391,6.57132
5.2849,99.8391,6.52132
5.29497,99.8362,6.52132
5.30491,99.8362,6.52132
5.31485,99.8362,6.52132
5.32485,99.8362,6.52132
5.33489,99.8362,6.52132
5.3449,99.8362,6.52132
5.35489,99.8362,6.52132
5.36486,99.8362,6.52132
5.37499,99.8362,6.52132
5.38491,99.8362,6.52132
5.39488,99.8333,6.52132
5.40489,99.8333,6.47132
5.41491,99.8333,6.47132
5.42483,99.8333,6.47132
5.43488,99.8333,6.47132
5.44483,99.8333,6.42132
5.45491,99.8333,6.42132
5.46488,99.8333,6.42132
5.47502,99.8333,6.42132
5.48489,99.8333,6.42132
5.49507,99.8305,6.42132
5.50482,99.8305,6.42132
5.51484,99.8305,6.42132
5.52485,99.8305,6.37132
5.53487,99.8305,6.37132
5.54483,99.8305,6.37132
5.55489,99.8305,6.37132
5.56486,99.8305,6.37132
5.5748,99.8305,6.37132
5.58489,99.8305,6.37132
5.59492,99.8276,6.37132
5.60501,99.8276,6.37132
5.61486,99.8276,6.37132
5.62483,99.8276,6.32132
5.63522,99.8276,6.32132
5.64489,99.8276,6.32132
5.65489,99.8276,6.32132
5.66481,99.8276,6.32132
5.67482,99.8276,6.32132
5.68486,99.8276,6.32132
5.6949,99.8247,6.32132
5.70492,99.8247,6.32132
5.71486,99.8247,6.32132
5.72489,99.8247,6.27132
5.73496,99.8247,6.27132
5.74492,99.8247,6.27132
5.75491,99.8247,6.27132
5.7648,99.8247,6.27132
5.77483,99.8247,6.27132
5.78485,99.8247,6.27132
5.79487,99.8218,6.27132
5.80485,99.8218,6.27132
5.81481,99.8218,6.27132
5.82484,99.8218,6.22132
5.8349,99.8218,6.22132
5.84499,99.8218,6.22132
5.8549,99.8218,6.22132
5.86486,99.8218,6.22132
5.87483,99.8218,6.22132
5.88494,99.8218,6.22132
5.89489,99.819,6.22132
5.90489,99.819,6.22132
5.91487,99.819,6.22132
5.92483,99.819,6.17132
5.9349,99.819,6.17132
5.94488,99.819,6.17132
5.95487,99.819,6.17132
5.96483,99.819,6.17132
5.9748,99.819,6.17132
5.98489,99.819,6.17132
5.99492,99.8161,6.17132
6.00489,99.8161,6.17132
6.01485,99.8161,6.17132
6.02483,99.8161,6.12132
6.03488,99.8161,6.12132
6.04488,99.8161,6.12132
6.05489,99.8161,6.12132
6.06485,99.8161,6.07132
6.07485,99.8161,6.07132
6.08489,99.8161,6.07132
6.09498,99.8132,6.07132
6.10486,99.8132,6.07132
6.11487,99.8132,6.07132
6.1248,99.8132,6.07132
6.13486,99.8132,6.07132
6.14488,99.8132,6.02132
6.15491,99.8132,6.02132
6.16483,99.8132,6.02132
6.17484,99.8132,6.02132
6.18489,99.8132,6.02132
6.19489,99.8103,6.02132
6.20488,99.8103,6.02132
6.21486,99.8103,6.02132
6.22489,99.8103,6.02132
6.23487,99.8103,6.02132
6.24488,99.8103,5.97132
6.25487,99.8103,5.97132
6.26486,99.8103,5.97132
6.27485,99.8103,5.97132
6.28488,99.8103,5.97132
6.29492,99.8075,5.97132
6.30489,99.8075,5.97132
6.31487,99.8075,5.97132
6.32483,99.8075,5.97132
6.33488,99.8075,5.97132
6.34482,99.8075,5.97132
6.35481,99.8075,5.97132
6.36487,99.8075,5.92132
6.37487,99.8075,5.92132
6.38489,99.8075,5.92132
6.39491,99.8046,5.92132
6.40492,99.8046,5.92132
6.41485,99.8046,5.92132
6.42483,99.8046,5.92132
6.4349,99.8046,5.92132
6.44494,99.8046,5.92132
6.45489,99.8046,5.92132
6.46482,99.8046,5.87132
6.47481,99.8046,5.87132
6.48491,99.8046,5.87132
6.49494,99.8017,5.87132
6.50519,99.8017,5.87132
6.51486,99.8017,5.87132
6.52512,99.8017,5.89203
6.53484,99.8017,5.89203
6.54488,99.8017,5.82132
6.55492,99.8017,5.82132
6.56483,99.8017,5.82132
6.57486,99.8017,5.82132
6.58494,99.8017,5.82132
6.59484,99.7988,5.82132
6.60488,99.7988,5.82132
6.61478,99.7988,5.82132
6.62477,99.7988,5.77132
6.63486,99.7988,5.77132
6.64488,99.7988,5.77132
6.65489,99.7988,5.77132
6.66485,99.7988,5.77132
6.67485,99.7988,5.77132
6.68493,99.7988,5.77132
6.69495,99.796,5.77132
6.70495,99.796,5.77132
6.71482,99.796,5.77132
6.72478,99.796,5.72132
6.73488,99.796,5.72132
6.74493,99.796,5.72132
6.75489,99.796,5.72132
6.76485,99.796,5.72132
6.77503,99.796,5.72132
6.7849,99.796,5.72132
6.79494,99.7931,5.72132
6.80489,99.7931,5.72132
6.81487,99.7931,5.72132
6.82482,99.7931,5.67132
6.83487,99.7931,5.67132
6.8449,99.7931,5.67132
6.85496,99.7931,5.67132
6.86482,99.7931,5.67132
6.8748,99.7931,5.67132
6.88487,99.7931,5.67132
6.89498,99.7902,5.67132
6.90488,99.7902,5.67132
6.91482,99.7902,5.67132
6.9248,99.7902,5.67132
6.93488,99.7902,5.67132
6.94491,99.7902,5.62132
6.95488,99.7902,5.62132
6.96483,99.7902,5.62132
6.97491,99.7902,5.62132
6.98489,99.7902,5.62132
6.9949,99.7873,5.62132
7.00488,99.7873,5.62132
7.01487,99.7873,5.62132
7.02492,99.7873,5.62132
7.03489,99.7873,5.62132
7.04487,99.7873,5.57132
7.05489,99.7873,5.57132
7.06485,99.7873,5.57132
7.07486,99.7873,5.57132
7.08487,99.7873,5.57132
7.09488,99.7845,5.57132
7.10492,99.7845,5.57132
7.11485,99.7845,5.57132
7.12482,99.7845,5.52132
7.13493,99.7845,5.52132
7.1449,99.7845,5.52132
7.15486,99.7845,5.52132
7.16484,99.7845,5.52132
7.17487,99.7845,5.52132
7.18492,99.7845,5.52132
7.19488,99.7816,5.52132
7.20486,99.7816,5.47132
7.21487,99.7816,5.47132
7.22483,99.7816,5.47132
7.23504,99.7816,5.47132
7.24489,99.7816,5.47132
7.25488,99.7816,5.47132
7.26499,99.7816,5.47132
7.27488,99.7816,5.47132
7.28488,99.7816,5.47132
7.29492,99.7787,5.47132
7.30491,99.7787,5.42132
7.31491,99.7787,5.42132
7.32481,99.7787,5.42132
7.33492,99.7787,5.42132
7.34489,99.7787,5.42132
7.35484,99.7787,5.42132
7.36479,99.7787,5.42132
7.37486,99.7787,5.42132
7.38485,99.7787,5.42132
7.39489,99.7758,5.42132
7.40493,99.7758,5.42132
7.4148,99.7758,5.42132
7.4248,99.7758,5.37132
7.43489,99.7758,5.37132
7.44486,99.7758,5.37132
7.45493,99.7758,5.37132
7.46488,99.7758,5.37132
7.47486,99.7758,5.37132
7.48489,99.7758,5.37132
7.49501,99.7729,5.37132
7.50491,99.7729,5.37132
7.51483,99.7729,5.37132
7.5248,99.7729,5.32132
7.53506,99.7729,5.32132
7.54489,99.7729,5.32132
7.55504,99.7729,5.32132
7.56486,99.7729,5.32132
7.57497,99.7729,5.32132
7.5849,99.7729,5.32132
7.59489,99.7701,5.32132
7.6049,99.7701,5.32132
7.61486,99.7701,5.32132
7.62485,99.7701,5.27132
7.63488,99.7701,5.27132
7.64494,99.7701,5.27132
7.65493,99.7701,5.27132
7.66486,99.7701,5.27132
7.67486,99.7701,5.27132
7.68493,99.7701,5.27132
7.69491,99.7672,5.27132
7.70488,99.7672,5.27132
7.7149,99.7672,5.27132
7.7248,99.7672,5.27132
7.73495,99.7672,5.27132
7.74492,99.7672,5.27132
7.75488,99.7672,5.27132
7.76482,99.7672,5.22132
7.77484,99.7672,5.22132
7.78484,99.7672,5.22132
7.79493,99.7643,5.22132
7.80487,99.7643,5.22132
7.81481,99.7643,5.22132
7.82482,99.7643,5.22132
7.83491,99.7643,5.22132
7.84488,99.7643,5.22132
7.85491,99.7643,5.22132
7.86484,99.7643,5.17132
7.87483,99.7643,5.17132
7.88485,99.7643,5.17132
7.89484,99.7614,5.17132
7.90487,99.7614,5.17132
7.9149,99.7614,5.17132
7.92486,99.7614,5.17132
7.93491,99.7614,5.17132
7.94488,99.7614,5.17132
7.95494,99.7614,5.17132
7.96485,99.7614,5.17132
7.97484,99.7614,5.17132
7.9849,99.7614,5.12132
7.99492,99.7586,5.12132
8.0049,99.7586,5.12132
8.01481,99.7586,5.12132
8.02484,99.7586,5.12132
8.03492,99.7586,5.12132
8.04485,99.7586,5.12132
8.05495,99.7586,5.12132
8.06484,99.7586,5.12132
8.07498,99.7586,5.12132
8.08487,99.7586,5.07132
8.09487,99.7557,5.07132
8.10483,99.7557,5.07132
8.11482,99.7557,5.07132
8.12482,99.7557,5.07132
8.13493,99.7557,5.07132
8.14502,99.7557,5.07132
8.1549,99.7557,5.07132
8.16483,99.7557,5.07132
8.17483,99.7557,5.07132
8.18491,99.7557,5.02132
8.19496,99.7528,5.02132
8.20488,99.7528,5.02132
8.21485,99.7528,5.02132
8.22488,99.7528,5.02132
8.23491,99.7528,5.02132
8.24488,99.7528,5.02132
8.25485,99.7528,5.02132
8.2648,99.7528,5.02132
8.27476,99.7528,5.02132
8.28489,99.7528,4.97132
8.2949,99.7499,4.97132
8.30506,99.7499,4.97132
8.31479,99.7499,4.97132
8.32483,99.7499,4.97132
8.33488,99.7499,4.97132
8.34489,99.7499,4.97132
8.35489,99.7499,4.97132
8.36482,99.7499,4.97132
8.37481,99.7499,4.97132
8.38501,99.7499,4.92132
8.39489,99.7471,4.92132
8.40491,99.7471,4.92132
8.41485,99.7471,4.92132
8.42484,99.7471,4.92132
8.43492,99.7471,4.92132
8.4449,99.7471,4.92132
8.4549,99.7471,4.92132
8.46484,99.7471,4.92132
8.47485,99.7471,4.92132
8.48488,99.7471,4.87132
8.4949,99.7442,4.87132
8.50489,99.7442,4.87132
8.51485,99.7442,4.87132
8.52485,99.7442,4.87132
8.5349,99.7442,4.87132
8.54489,99.7442,4.87132
8.55496,99.7442,4.87132
8.56499,99.7442,4.87132
8.57485,99.7442,4.87132
8.58503,99.7442,4.82132
8.59483,99.7413,4.82132
8.60486,99.7413,4.82132
8.61483,99.7413,4.82132
8.62483,99.7413,4.82132
8.63491,99.7413,4.82132
8.64483,99.7413,4.82132
8.65491,99.7413,4.82132
8.66481,99.7413,4.82132
8.67477,99.7413,4.82132
8.68481,99.7413,4.77132
8.69498,99.7384,4.77132
8.70491,99.7384,4.77132
8.71494,99.7384,4.77132
8.72485,99.7384,4.77132
8.73486,99.7384,4.77132
8.74483,99.7384,4.77132
8.75488,99.7384,4.77132
8.76479,99.7384,4.77132
8.77483,99.7384,4.77132
8.78503,99.7384,4.72132
8.79484,99.7356,4.72132
8.80484,99.7356,4.72132
8.81483,99.7356,4.72132
8.82479,99.7356,4.72132
8.83486,99.7356,4.72132
8.8449,99.7356,4.72132
8.85489,99.7356,4.72132
8.86483,99.7356,4.72132
8.87482,99.7356,4.72132
8.88489,99.7356,4.67132
8.89493,99.7327,4.67132
8.90489,99.7327,4.67132
8.91481,99.7327,4.67132
8.92485,99.7327,4.67132
8.93491,99.7327,4.67132
8.94486,99.7327,4.67132
8.955,99.7327,4.67132
8.96484,99.7327,4.67132
8.97488,99.7327,4.67132
8.98485,99.7327,4.67132
8.99492,99.7298,4.67132
9.00482,99.7298,4.62132
9.01485,99.7298,4.62132
9.02483,99.7298,4.62132
9.03492,99.7298,4.62132
9.04485,99.7298,4.62132
9.05485,99.7298,4.62132
9.06484,99.7298,4.62132
9.07484,99.7298,4.62132
9.08489,99.7298,4.62132
9.09492,99.7269,4.62132
9.10485,99.7269,4.57132
9.11482,99.7269,4.57132
9.12482,99.7269,4.57132
9.13489,99.7269,4.57132
9.14484,99.7269,4.57132
9.15485,99.7269,4.57132
9.16491,99.7269,4.57132
9.17487,99.7269,4.57132
9.18489,99.7269,4.57132
9.1953,99.7241,4.57132
9.20487,99.7241,4.52132
9.21485,99.7241,4.52132
9.22483,99.7241,4.52132
9.23487,99.7241,4.52132
9.2449,99.7241,4.52132
9.25488,99.7241,4.52132
9.2648,99.7241,4.52132
9.27478,99.7241,4.52132
9.28485,99.7241,4.52132
9.29497,99.7212,4.52132
9.3049,99.7212,4.47132
9.31484,99.7212,4.47132
9.32483,99.7212,4.47132
9.33489,99.7212,4.47132
9.34486,99.7212,4.47132
9.35498,99.7212,4.47132
9.36484,99.7212,4.47132
9.37484,99.7212,4.47132
9.38489,99.7212,4.47132
9.39494,99.7183,4.47132
9.40483,99.7183,4.42132
9.41485,99.7183,4.42132
9.42484,99.7183,4.42132
9.43491,99.7183,4.42132
9.44488,99.7183,4.42132
9.45488,99.7183,4.42132
9.46483,99.7183,4.42132
9.47487,99.7183,4.42132
9.48492,99.7183,4.42132
9.49495,99.7154,4.42132
9.50493,99.7154,4.37132
9.51482,99.7154,4.37132
9.52486,99.7154,4.37132
9.53488,99.7154,4.37132
9.54486,99.7154,4.37132
9.55487,99.7154,4.37132
