ElapsedTime(s),Battery(%)
70.2962,98.0262
70.3962,98.0234
70.4962,98.0205
70.5962,98.0176
70.6962,98.0147
70.7962,98.0119
70.8962,98.009
70.9962,98.0061
71.0962,98.0032
71.1962,98.0004
71.2962,97.9975
71.3962,97.9946
71.4962,97.9917
71.5962,97.9889
71.6962,97.986
71.7962,97.9831
71.8962,97.9802
71.9962,97.9774
72.0962,97.9745
72.1961,97.9716
72.2962,97.9689
72.3962,97.966
72.4962,97.9631
72.5962,97.9602
72.6963,97.9574
72.7962,97.9545
72.8962,97.9516
72.9962,97.9487
73.0962,97.9459
73.1963,97.943
73.2962,97.9401
73.3962,97.9372
73.4962,97.9344
73.5962,97.9315
73.6962,97.9286
73.7962,97.9257
73.8962,97.9229
73.9962,97.92
74.0962,97.9171
74.1962,97.9142
74.2962,97.9114
74.3962,97.9085
74.4962,97.9056
74.5962,97.9027
74.6962,97.8999
74.7962,97.897
74.8962,97.8941
74.9962,97.8912
75.0962,97.8883
75.1962,97.8855
75.2962,97.8826
75.3962,97.8797
75.4962,97.8768
75.5962,97.874
75.6962,97.8711
75.7962,97.8682
75.8962,97.8653
75.9962,97.8625
76.0962,97.8596
76.1962,97.8567
76.2963,97.8538
76.3962,97.851
76.4962,97.8481
76.5962,97.8452
76.6962,97.8423
76.7962,97.8395
76.8962,97.8366
76.9962,97.8337
77.0962,97.8308
77.1962,97.8279
77.2962,97.8251
77.3962,97.8222
77.4962,97.8193
77.5963,97.8164
77.6963,97.8136
77.7962,97.8107
77.8962,97.8078
77.9962,97.8049
78.0962,97.8021
78.1962,97.7992
78.2962,97.7963
78.3962,97.7934
78.4962,97.7906
78.5962,97.7877
78.6962,97.7848
78.7963,97.7819
78.8962,97.7791
78.9962,97.7762
79.0962,97.7733
79.1962,97.7704
79.2962,97.7676
79.3962,97.7647
79.4962,97.7618
79.5962,97.7589
79.6962,97.7561
79.7962,97.7532
79.8962,97.7503
79.9962,97.7474
80.0962,97.7446
80.1963,97.7417
80.2962,97.7388
80.3962,97.7359
80.4962,97.733
80.5962,97.7302
80.6962,97.7273
80.7962,97.7244
80.8962,97.7215
80.9962,97.7187
81.0962,97.7158
81.1962,97.7129
81.2962,97.71
81.3962,97.7072
81.4962,97.7043
81.5962,97.7014
81.6962,97.6985
81.7963,97.6957
81.8963,97.6928
81.9962,97.6899
82.0962,97.687
82.1962,97.6842
82.2962,97.6813
82.3962,97.6784
82.4962,97.6755
82.5962,97.6727
82.6962,97.6698
82.7962,97.6669
82.8962,97.664
82.9962,97.6611
83.0963,97.6583
83.1962,97.6554
83.2962,97.6525
83.3963,97.6496
83.4962,97.6468
83.5963,97.6439
83.6963,97.641
83.7962,97.6381
83.8962,97.6353
83.9962,97.6324
84.0962,97.6295
84.1963,97.6266
84.2962,97.6238
84.3962,97.6209
84.4962,97.618
84.5963,97.6151
84.6962,97.6123
84.7963,97.6094
84.8962,97.6065
84.9962,97.6036
85.0962,97.6007
85.1962,97.5979
85.2962,97.595
85.3962,97.5921
85.4963,97.5892
85.5963,97.5864
85.6962,97.5835
85.7962,97.5806
85.8962,97.5777
85.9962,97.5749
86.0962,97.572
86.1962,97.5691
86.2963,97.5662
86.3962,97.5634
86.4963,97.5605
86.5963,97.5576
86.6962,97.5547
86.7963,97.5519
86.8962,97.549
86.9963,97.5461
87.0962,97.5432
87.1962,97.5404
87.2962,97.5375
87.3962,97.5346
87.4962,97.5317
87.5962,97.5289
87.6962,97.526
87.7963,97.5231
87.8962,97.5202
87.9962,97.5174
88.0963,97.5145
88.1963,97.5116
88.2963,97.5087
88.3963,97.5058
88.4963,97.503
88.5963,97.5001
88.6962,97.4972
88.7963,97.4943
88.8963,97.4915
88.9963,97.4886
89.0963,97.4857
89.1962,97.4828
89.2963,97.48
89.3963,97.4771
89.4962,97.4742
89.5963,97.4713
89.6963,97.4685
89.7963,97.4656
89.8963,97.4627
89.9963,97.4598
90.0963,97.457
90.1963,97.4541
90.2962,97.4512
90.3962,97.4483
90.4962,97.4454
90.5962,97.4426
90.6963,97.4397
90.7963,97.4368
90.8963,97.4339
90.9963,97.4311
91.0963,97.4282
91.1962,97.4253
91.2963,97.4224
91.3963,97.4196
91.4963,97.4167
91.5963,97.4138
91.6962,97.4109
91.7962,97.4081
91.8963,97.4052
91.9963,97.4023
92.0963,97.3994
92.1963,97.3966
92.2963,97.3937
92.3963,97.3908
92.4963,97.3879
92.5963,97.3851
92.6963,97.3822
92.7963,97.3793
92.8962,97.3764
92.9963,97.3736
93.0963,97.3707
93.1963,97.3678
93.2963,97.3649
93.3963,97.3621
93.4963,97.3592
93.5963,97.3563
93.6963,97.3534
93.7964,97.3505
93.8963,97.3477
93.9963,97.3448
94.0963,97.3419
94.1963,97.339
94.2963,97.3362
94.3963,97.3333
94.4963,97.3304
94.5964,97.3275
94.6963,97.3247
94.7963,97.3218
94.8963,97.3189
94.9963,97.316
95.0963,97.3132
95.1963,97.3103
95.2963,97.3074
95.3963,97.3045
95.4963,97.3017
95.5962,97.2988
95.6964,97.2959
95.7963,97.293
95.8963,97.2901
95.9963,97.2873
96.0963,97.2844
96.1962,97.2815
96.2963,97.2786
96.3963,97.2758
96.4962,97.2729
96.5963,97.27
96.6963,97.2671
96.7963,97.2643
96.8963,97.2614
96.9963,97.2585
97.0963,97.2556
97.1963,97.2528
97.2963,97.2499
97.3963,97.247
97.4963,97.2441
97.5962,97.2413
97.6963,97.2384
97.7963,97.2355
97.8963,97.2326
97.9963,97.2298
98.0963,97.2269
98.1963,97.224
98.2963,97.2211
98.3963,97.2183
98.4963,97.2154
98.5963,97.2125
98.6962,97.2096
98.7963,97.2068
98.8963,97.2039
98.9963,97.2011
99.0963,97.1983
99.1963,97.1954
99.2963,97.1925
99.3963,97.1896
99.4963,97.1868
99.5963,97.1839
99.6963,97.181
99.7963,97.1781
99.8963,97.1753
99.9963,97.1724
100.096,97.1695
100.196,97.1666
100.296,97.1638
100.396,97.1609
100.496,97.158
100.596,97.1551
100.696,97.1523
100.796,97.1494
100.896,97.1465
100.996,97.1436
101.096,97.1408
101.196,97.1379
101.296,97.135
101.396,97.1321
101.496,97.1292
101.596,97.1264
101.696,97.1235
101.796,97.1206
101.896,97.1177
101.996,97.1149
102.096,97.112
102.196,97.1091
102.296,97.1062
102.396,97.1034
102.496,97.1005
102.596,97.0976
102.696,97.0947
102.796,97.0919
102.896,97.089
102.996,97.0861
103.096,97.0832
103.196,97.0804
103.296,97.0775
103.396,97.0746
103.496,97.0717
103.596,97.0688
103.696,97.066
103.796,97.0631
103.896,97.0602
103.996,97.0573
104.096,97.0545
104.196,97.0516
104.296,97.0487
104.396,97.0458
104.496,97.043
104.596,97.0401
104.696,97.0372
104.796,97.0343
104.896,97.0315
104.996,97.0286
105.096,97.0257
105.196,97.0228
105.296,97.02
105.396,97.0171
105.496,97.0142
105.596,97.0113
105.696,97.0084
105.796,97.0056
105.896,97.0027
105.996,96.9998
106.096,96.9969
106.196,96.9941
106.296,96.9912
106.396,96.9883
106.496,96.9854
106.596,96.9826
106.696,96.9797
106.796,96.9768
106.896,96.9739
106.996,96.9711
107.096,96.9682
107.196,96.9653
107.296,96.9624
107.396,96.9596
107.496,96.9567
107.596,96.9538
107.696,96.9509
107.796,96.9481
107.896,96.9452
107.996,96.9423
108.096,96.9394
108.196,96.9366
108.296,96.9337
108.396,96.9308
108.496,96.9279
108.596,96.9251
108.696,96.9222
108.796,96.9193
108.896,96.9164
108.996,96.9135
109.096,96.9107
109.196,96.9078
109.296,96.9049
109.396,96.902
109.496,96.8992
109.596,96.8963
109.696,96.8934
109.796,96.8905
109.896,96.8877
109.996,96.8848
110.096,96.8819
110.196,96.879
110.296,96.8762
110.396,96.8733
110.496,96.8704
110.596,96.8675
110.696,96.8647
110.796,96.8618
110.896,96.8589
110.996,96.856
111.096,96.8531
111.196,96.8503
111.296,96.8474
111.396,96.8445
111.496,96.8416
111.596,96.8388
111.696,96.8359
111.796,96.833
111.896,96.8301
111.996,96.8273
112.096,96.8244
112.196,96.8215
112.296,96.8186
112.396,96.8158
112.496,96.813
112.596,96.8102
112.696,96.8073
112.796,96.8044
112.896,96.8015
112.996,96.7986
113.096,96.7958
113.196,96.7929
113.296,96.79
113.396,96.7871
113.496,96.7843
113.596,96.7814
113.696,96.7785
113.796,96.7756
113.896,96.7728
113.996,96.7699
114.096,96.767
114.196,96.7641
114.296,96.7613
114.396,96.7584
114.496,96.7555
114.596,96.7526
114.696,96.7498
114.796,96.7469
114.896,96.744
114.996,96.7411
115.096,96.7383
115.196,96.7354
115.296,96.7325
115.396,96.7296
115.496,96.7268
115.596,96.7239
115.696,96.721
115.796,96.7181
115.896,96.7153
115.996,96.7124
116.096,96.7095
116.196,96.7066
116.296,96.7037
116.396,96.7009
116.496,96.698
116.596,96.6951
116.696,96.6922
116.796,96.6894
116.896,96.6865
116.996,96.6836
117.096,96.6807
117.196,96.6779
117.296,96.675
117.396,96.6721
117.496,96.6692
117.596,96.6664
117.696,96.6635
117.796,96.6606
117.896,96.6577
117.996,96.6549
118.096,96.652
118.196,96.6491
118.296,96.6462
118.396,96.6434
118.496,96.6405
118.596,96.6376
118.696,96.6347
118.796,96.6318
118.896,96.629
118.996,96.6261
119.096,96.6232
119.196,96.6203
119.296,96.6175
119.396,96.6146
119.496,96.6117
119.596,96.6088
119.696,96.606
119.796,96.6031
119.896,96.6002
119.996,96.5973
120.096,96.5945
120.196,96.5916
120.296,96.5887
120.396,96.5858
120.496,96.583
120.596,96.5801
120.696,96.5772
120.796,96.5743
120.896,96.5715
120.996,96.5686
121.096,96.5657
121.196,96.5628
121.296,96.56
121.396,96.5571
121.496,96.5542
121.596,96.5513
121.696,96.5485
121.796,96.5456
121.896,96.5427
121.996,96.5398
122.096,96.5369
122.196,96.5341
122.296,96.5312
122.396,96.5283
122.496,96.5254
122.596,96.5226
122.696,96.5197
122.796,96.5168
122.896,96.5139
122.996,96.5111
123.096,96.5082
123.196,96.5053
123.296,96.5024
123.396,96.4996
123.496,96.4967
123.596,96.4938
123.696,96.4911
123.796,96.4882
123.896,96.4852
123.996,96.4823
124.096,96.4794
124.196,96.4767
124.296,96.4737
124.396,96.4709
124.496,96.4681
124.596,96.4652
124.696,96.4623
124.796,96.4594
124.896,96.4566
124.996,96.4537
125.096,96.4508
125.196,96.4479
125.296,96.4451
125.396,96.4422
125.496,96.4393
125.596,96.4364
125.696,96.4336
125.796,96.4307
125.896,96.4278
125.996,96.4249
126.096,96.422
126.196,96.4192
126.296,96.4163
126.396,96.4134
126.496,96.4105
126.596,96.4077
126.696,96.4048
126.796,96.4019
126.896,96.399
126.996,96.3962
127.096,96.3933
127.196,96.3904
127.296,96.3875
127.396,96.3847
127.496,96.3818
127.596,96.3789
127.696,96.376
127.796,96.3732
127.896,96.3703
127.996,96.3674
128.096,96.3645
128.196,96.3617
128.296,96.3588
128.396,96.3559
128.496,96.353
128.596,96.3502
128.696,96.3473
128.796,96.3444
128.896,96.3415
128.996,96.3387
129.096,96.3358
129.196,96.3329
129.296,96.33
129.396,96.3271
129.496,96.3243
129.596,96.3214
129.696,96.3185
129.796,96.3156
129.896,96.3128
129.996,96.3099
130.096,96.307
130.196,96.3041
130.296,96.3013
130.396,96.2984
130.496,96.2955
130.596,96.2926
130.696,96.2898
130.796,96.2869
130.896,96.284
130.996,96.2811
131.096,96.2783
131.196,96.2754
131.296,96.2725
131.396,96.2696
131.496,96.2667
131.596,96.2639
131.696,96.261
131.796,96.2581
131.896,96.2552
131.996,96.2524
132.096,96.2495
132.196,96.2466
132.296,96.2437
132.396,96.2409
132.496,96.238
132.596,96.2351
132.696,96.2322
132.796,96.2294
132.896,96.2265
132.996,96.2236
133.096,96.2207
133.196,96.2179
133.296,96.215
133.396,96.2121
133.496,96.2092
133.596,96.2064
133.696,96.2035
133.796,96.2006
133.896,96.1977
133.996,96.1948
134.096,96.192
134.196,96.1891
134.296,96.1862
134.396,96.1833
134.496,96.1805
134.596,96.1776
134.696,96.1747
134.796,96.1718
134.896,96.169
134.996,96.1661
135.096,96.1632
135.196,96.1603
135.296,96.1575
135.396,96.1546
135.496,96.1517
135.596,96.1488
135.696,96.146
135.796,96.1431
135.896,96.1402
135.996,96.1373
136.096,96.1345
136.196,96.1316
136.296,96.1287
136.396,96.1258
136.496,96.123
136.596,96.1201
136.696,96.1172
136.796,96.1143
136.896,96.1115
136.996,96.1086
137.096,96.1057
137.196,96.1028
137.296,96.0999
137.396,96.0971
137.496,96.0942
137.596,96.0913
137.696,96.0884
137.796,96.0856
137.896,96.0827
137.996,96.0798
138.096,96.0769
138.196,96.0741
138.296,96.0712
138.396,96.0683
138.496,96.0654
138.596,96.0626
138.696,96.0597
138.796,96.0568
138.896,96.0539
138.996,96.0511
139.096,96.0482
139.196,96.0453
139.296,96.0424
139.396,96.0395
139.496,96.0367
139.596,96.0338
139.696,96.0309
139.796,96.028
139.896,96.0252
139.996,96.0223
140.096,96.0194
140.196,96.0165
140.296,96.0137
140.396,96.0108
140.496,96.0079
140.596,96.005
140.696,96.0022
140.796,95.9993
140.896,95.9964
140.996,95.9935
141.096,95.9907
141.196,95.9878
141.296,95.9849
141.396,95.982
141.496,95.9792
141.596,95.9763
141.696,95.9734
141.796,95.9705
141.896,95.9677
141.996,95.9648
142.096,95.9619
142.196,95.959
142.296,95.9562
