Accumulated Time [min],Battery [%],Work Count [times]
3.91404,93.2286,1
3.91571,93.2259,1
3.91738,93.223,1
3.91904,93.2201,1
3.92071,93.2173,1
3.92238,93.2144,1
3.92405,93.2115,1
3.92571,93.2086,1
3.92738,93.2057,1
3.92905,93.2029,1
3.93071,93.2,1
3.93238,93.1973,1
3.93404,93.1944,1
3.93571,93.1915,1
3.93738,93.1886,1
3.93904,93.1858,1
3.94071,93.1829,1
3.94238,93.18,1
3.94404,93.1771,1
3.94571,93.1743,1
3.94738,93.1714,1
3.94904,93.1685,1
3.95071,93.1658,1
3.95238,93.1629,1
3.95404,93.16,1
3.95571,93.1571,1
3.95738,93.1543,1
3.95904,93.1514,1
3.96071,93.1485,1
3.96238,93.1456,1
3.96405,93.1428,1
3.96571,93.1399,1
3.96738,93.137,1
3.96904,93.1341,1
3.97071,93.1313,1
3.97238,93.1284,1
3.97405,93.1255,1
3.97571,93.1226,1
3.97738,93.1198,1
3.97905,93.1169,1
3.98071,93.114,1
3.98238,93.1111,1
3.98404,93.1083,1
3.98571,93.1054,1
3.98738,93.1025,1
3.98904,93.0998,1
3.99072,93.0969,1
3.99238,93.094,1
3.99405,93.0911,1
3.99571,93.0883,1
3.99738,93.0854,1
3.99905,93.0825,1
4.00071,93.0796,1
4.00238,93.0768,1
4.00405,93.0739,1
4.00571,93.071,1
4.00738,93.0681,1
4.00905,93.0653,1
4.01072,93.0624,1
4.01238,93.0595,1
4.01404,93.0566,1
4.01571,93.0538,1
4.01738,93.0509,1
4.01904,93.048,1
4.02071,93.0451,1
4.02238,93.0423,1
4.02405,93.0394,1
4.02571,93.0365,1
4.02738,93.0336,1
4.02905,93.0307,1
4.03071,93.0282,1
4.03238,93.0251,1
4.03404,93.0223,1
4.03571,93.0194,1
4.03738,93.0165,1
4.03904,93.0136,1
4.04071,93.0108,1
4.04238,93.0079,1
4.04404,93.005,1
4.04571,93.0021,1
4.04738,92.9993,1
4.04905,92.9965,1
4.05071,92.9937,1
4.05238,92.9908,1
4.05404,92.9879,1
4.05571,92.985,1
4.05738,92.9821,1
4.05904,92.9793,1
4.06072,92.9764,1
4.06238,92.9735,1
4.06405,92.9706,1
4.06571,92.9678,1
4.06738,92.9649,1
4.06905,92.962,1
4.07071,92.9591,1
4.07238,92.9563,1
4.07405,92.9534,1
4.07572,92.9505,1
4.07738,92.9476,1
4.07905,92.9448,1
4.08071,92.9419,1
4.08238,92.939,1
4.08404,92.9361,1
4.08571,92.9333,1
4.08738,92.9304,1
4.08905,92.9275,1
4.09071,92.9248,1
4.09238,92.9219,1
4.09404,92.919,1
4.09571,92.9161,1
4.09738,92.9133,1
4.09904,92.9104,1
4.10071,92.9075,1
4.10238,92.9046,1
4.10405,92.9018,1
4.10571,92.8989,1
4.10738,92.896,1
4.10905,92.8931,1
4.11071,92.8903,1
4.11238,92.8874,1
4.11404,92.8845,1
4.11571,92.8816,1
4.11738,92.8788,1
