Accumulated Time [min],Battery [%],Work Count [times]
5.42085,90.6588,2
5.42252,90.6559,2
5.42419,90.6531,2
5.42585,90.6502,2
5.42752,90.6475,2
5.42918,90.6446,2
5.43085,90.6417,2
5.43252,90.6388,2
5.43419,90.6361,2
5.43585,90.6332,2
5.43752,90.6304,2
5.43918,90.6275,2
5.44085,90.6246,2
5.44252,90.6217,2
5.44418,90.6189,2
5.44585,90.616,2
5.44752,90.6131,2
5.44918,90.6102,2
5.45085,90.6073,2
5.45252,90.6045,2
5.45418,90.6016,2
5.45585,90.5987,2
5.45752,90.5958,2
5.45919,90.593,2
5.46085,90.5901,2
5.46252,90.5872,2
5.46418,90.5843,2
5.46585,90.5815,2
5.46752,90.5786,2
5.46918,90.5757,2
5.47085,90.573,2
5.47252,90.5701,2
5.47419,90.5672,2
5.47585,90.5643,2
5.47752,90.5615,2
5.47919,90.5586,2
5.48085,90.5557,2
5.48252,90.5528,2
5.48419,90.55,2
5.48585,90.5471,2
5.48752,90.5442,2
5.48918,90.5415,2
5.49085,90.5387,2
5.49252,90.5359,2
5.49418,90.5331,2
5.49585,90.5303,2
5.49752,90.5274,2
5.49918,90.5245,2
5.50085,90.5218,2
5.50252,90.5189,2
5.50419,90.516,2
6.50539,88.8221,2
6.50539,88.8192,2
6.50539,88.8164,2
6.50539,88.8135,2
6.50539,88.8106,2
6.50539,88.8077,2
6.50539,88.8049,2
6.50539,88.802,2
6.50539,88.7991,2
6.50539,88.7962,2
6.50585,88.7934,2
6.50752,88.7905,2
6.50918,88.7876,2
6.51085,88.7847,2
6.51252,88.7818,2
6.51418,88.779,2
6.51585,88.7761,2
6.51752,88.7732,2
6.51919,88.7703,2
6.52085,88.7675,2
6.52252,88.7646,2
6.52419,88.7617,2
6.52585,88.7588,2
6.52752,88.756,2
6.52918,88.7531,2
6.53085,88.7502,2
6.53252,88.7475,2
6.53418,88.7446,2
6.53585,88.7417,2
6.53752,88.7391,2
6.53919,88.7363,2
6.54086,88.7334,2
6.54252,88.7307,2
6.54419,88.7278,2
6.54586,88.7249,2
6.54752,88.722,2
6.54919,88.7191,2
6.55085,88.7163,2
6.55252,88.7134,2
6.55418,88.7105,2
6.55585,88.7076,2
6.55752,88.7048,2
6.55919,88.702,2
6.56085,88.6992,2
6.56252,88.6964,2
6.56419,88.6936,2
6.56585,88.6907,2
6.56752,88.6878,2
6.56918,88.6849,2
