第0世代
f1,f2,first_soc,front
129.795,45.2368,94,14
time,44.52,67.9189,
soc,38,90,
f1,f2,first_soc,front
132.407,30.0324,89,14
time,3.72,12.4149,61.7962,92.7745,
soc,88,95,68,81,
f1,f2,first_soc,front
140.461,29.0521,84,14
time,22.76,40.4546,46.936,99.111,
soc,49,27,82,90,
f1,f2,first_soc,front
135.87,29.5939,82,14
time,2.36,31.4282,43.3972,89.0944,
soc,86,53,77,83,
f1,f2,first_soc,front
143.343,22.4835,97,15
time,36.36,51.7676,73.6044,92.8369,109.402,
soc,42,44,57,60,89,
f1,f2,first_soc,front
125.184,54.9736,87,15
time,14.6,51.269,
soc,66,88,
f1,f2,first_soc,front
132.022,47.4026,90,15
time,15.96,75.6518,
soc,88,81,
f1,f2,first_soc,front
132.901,33.5794,99,15
time,11.88,32.172,40.4881,86.2638,
soc,93,79,83,81,
f1,f2,first_soc,front
137.568,31.7233,91,15
time,3.72,49.1348,75.5188,121.882,
soc,90,63,94,66,
f1,f2,first_soc,front
127.184,53.5655,80,15
time,30.92,48.8355,
soc,34,91,
f1,f2,first_soc,front
136.707,32.2599,95,15
time,40.44,68.2334,97.6851,
soc,44,52,85,
f1,f2,first_soc,front
145.966,22.5255,80,16
time,17.32,38.3379,120.221,
soc,61,100,64,
f1,f2,first_soc,front
125.987,55.5939,80,16
time,2.36,49.7684,
soc,88,91,
f1,f2,first_soc,front
133.469,46.2269,96,16
time,9.16,38.8169,91.9067,
soc,84,90,89,
f1,f2,first_soc,front
133.959,37.281,93,16
time,14.6,36.309,57.7461,68.9092,111.419,
soc,72,51,40,91,83,
f1,f2,first_soc,front
137.972,35.5011,92,16
time,14.6,36.4245,56.9497,85.3375,
soc,82,74,57,86,
f1,f2,first_soc,front
143.44,34.8155,85,16
time,11.88,39.3306,80.7689,
soc,72,62,95,
f1,f2,first_soc,front
129.279,55.1034,99,16
time,7.8,53.083,72.7812,
soc,97,47,86,
f1,f2,first_soc,front
144.68,28.7558,90,16
time,18.68,52.7353,75.5723,121.538,
soc,81,85,95,71,
f1,f2,first_soc,front
145.785,26.361,80,16
time,40.44,80.5494,91.2832,111.716,
soc,48,25,36,73,
f1,f2,first_soc,front
128.428,55.3396,92,16
time,43.16,59.3823,
soc,43,97,
f1,f2,first_soc,front
146.222,22.5811,96,17
time,41.8,102.877,131.393,
soc,87,77,86,
f1,f2,first_soc,front
126.392,95.8319,94,17
time,11.88,48.2989,74.596,
soc,97,96,96,
f1,f2,first_soc,front
137.218,38.3683,93,17
time,1,16.4373,48.1896,98.8463,
soc,99,94,76,66,
f1,f2,first_soc,front
131.135,60.5947,89,17
time,45.88,63.1211,
soc,40,97,
f1,f2,first_soc,front
127.454,62.235,100,17
time,25.48,60.0843,
soc,83,100,
f1,f2,first_soc,front
127.43,85.2769,100,17
time,32.28,69.5674,82.2752,
soc,98,100,100,
f1,f2,first_soc,front
145.751,33.8417,99,17
time,44.52,65.6643,81.7335,138.756,
soc,52,52,100,77,
f1,f2,first_soc,front
135.579,50.9259,95,17
time,48.6,93.0466,
soc,79,95,
f1,f2,first_soc,front
145.809,32.7633,100,17
time,28.2,46.6118,121.335,
soc,57,99,80,
f1,f2,first_soc,front
136.207,42.7442,97,17
time,49.96,57.4854,100.003,
soc,19,68,86,
f1,f2,first_soc,front
135.688,44.7063,100,17
time,21.4,37.8631,70.9644,
soc,73,65,96,
f1,f2,first_soc,front
147.216,23.5475,88,18
time,11.88,27.7508,48.6301,102.251,108.863,
soc,79,68,70,15,80,
f1,f2,first_soc,front
130.8,63.3725,93,18
time,1,56.8978,
soc,100,94,
f1,f2,first_soc,front
146.416,36.0965,83,18
time,41.8,98.1769,
soc,62,86,
f1,f2,first_soc,front
136.513,43.4217,86,18
time,11.88,35.6797,92.4228,
soc,98,99,66,
f1,f2,first_soc,front
135.584,54.9578,95,18
time,47.24,68.6274,
soc,33,95,
f1,f2,first_soc,front
152.773,27.6325,84,19
time,43.16,69.5625,114.046,
soc,39,67,92,
f1,f2,first_soc,front
132.394,73.7834,90,19
time,11.88,45.7411,61.716,83.4698,
soc,87,70,96,100,
f1,f2,first_soc,front
141.852,44.4247,80,19
time,26.84,60.0664,106.609,116.444,
soc,66,96,83,85,
f1,f2,first_soc,front
149.805,33.677,84,19
time,3.72,47.2302,101.728,128.343,
soc,90,85,81,91,
f1,f2,first_soc,front
136.688,45.2064,95,19
time,37.72,54.7403,83.6168,
soc,57,79,98,
f1,f2,first_soc,front
136.329,61.007,91,19
time,2.36,44.547,71.8796,118.03,
soc,100,88,100,59,
f1,f2,first_soc,front
133.767,64.4133,100,19
time,37.72,89.9642,
soc,96,95,
f1,f2,first_soc,front
152.741,29.363,81,19
time,28.2,111.976,
soc,95,82,
f1,f2,first_soc,front
132.81,65.9008,89,19
time,33.64,60.4207,94.4249,
soc,72,100,92,
f1,f2,first_soc,front
156.005,29.4908,86,20
time,33.64,60.5759,67.138,122.203,128.793,
soc,72,69,95,45,91,
f1,f2,first_soc,front
133.831,75.9994,91,20
time,32.28,70.0296,91.7085,
soc,90,100,100,
f1,f2,first_soc,front
142.865,44.9517,86,20
time,2.36,22.2581,37.3469,93.4716,
soc,88,78,90,85,
f1,f2,first_soc,front
154.388,33.2263,90,20
time,17.32,43.428,95.8711,120.137,
soc,73,73,58,99,
f1,f2,first_soc,front
136.973,67.9892,94,20
time,9.16,28.5797,42.1279,102.599,117.258,
soc,96,96,99,31,49,
f1,f2,first_soc,front
137.938,53.2733,87,20
time,2.36,50.6439,75.0473,95.7595,
soc,92,53,76,95,
f1,f2,first_soc,front
140.397,46.4631,87,20
time,2.36,29.5664,85.2784,96.1963,
soc,98,90,28,80,
f1,f2,first_soc,front
138.015,51.1213,87,20
time,44.52,52.3383,76.1297,
soc,19,39,93,
f1,f2,first_soc,front
134.373,70.2759,94,20
time,9.16,26.2009,73.7358,
soc,99,100,90,
f1,f2,first_soc,front
155.235,32.0768,82,20
time,41.8,83.953,108.195,133.947,
soc,84,81,80,93,
f1,f2,first_soc,front
134.308,72.3481,96,20
time,1,13.3761,59.7488,
soc,99,95,98,
f1,f2,first_soc,front
155.473,37.2274,96,21
time,29.56,76.0056,96.6576,124.049,
soc,90,55,67,99,
f1,f2,first_soc,front
138.268,69.6129,96,21
time,1,59.6161,64.7071,113.706,
soc,99,11,89,90,
f1,f2,first_soc,front
138.637,51.3312,82,21
time,1,11.5512,18.3038,58.2809,70.944,
soc,84,77,85,44,99,
f1,f2,first_soc,front
149.721,46.7147,100,21
time,20.04,40.8718,90.0638,106.64,
soc,84,89,52,100,
f1,f2,first_soc,front
151.123,46.1609,82,21
time,39.08,66.4227,123.284,
soc,54,99,89,
f1,f2,first_soc,front
160.398,38.4354,83,22
time,11.88,59.9753,90.6394,120.02,
soc,99,68,56,94,
f1,f2,first_soc,front
139.416,66.76,84,22
time,5.08,32.7812,78.6455,
soc,100,90,88,
f1,f2,first_soc,front
140.211,55.1381,95,22
time,11.88,50.7157,92.7697,114.079,
soc,83,85,96,95,
f1,f2,first_soc,front
143.778,53.0254,97,22
time,35,62.3074,89.0162,132.823,
soc,76,95,100,66,
f1,f2,first_soc,front
148.692,51.4008,88,22
time,14.6,57.3296,77.782,122.037,
soc,79,49,100,95,
f1,f2,first_soc,front
155.026,48.6411,89,22
time,29.56,59.9199,77.9147,125.098,139.982,
soc,70,57,97,90,92,
f1,f2,first_soc,front
152.597,49.81,82,22
time,37.72,49.3795,84.4044,
soc,28,44,99,
f1,f2,first_soc,front
156.687,42.9506,98,22
time,35,106.955,
soc,94,100,
f1,f2,first_soc,front
156.895,40.8562,91,22
time,41.8,49.9595,106.631,
soc,23,63,96,
f1,f2,first_soc,front
157.369,47.7953,95,23
time,29.56,104.053,
soc,97,100,
f1,f2,first_soc,front
139.768,88.9234,95,23
time,3.72,32.4959,55.9309,88.2735,99.4587,106.013,
soc,93,80,100,92,91,94,
f1,f2,first_soc,front
145.296,53.6726,96,23
time,9.16,27.0819,91.0608,97.0963,
soc,85,93,21,91,
f1,f2,first_soc,front
140.021,70.632,81,23
time,6.44,17.9791,44.243,63.9213,87.5707,
soc,89,91,81,91,98,
f1,f2,first_soc,front
142.872,57.7558,93,23
time,10.52,36.3892,54.7693,107.935,
soc,90,68,96,92,
f1,f2,first_soc,front
160.82,51.9168,83,24
time,33.64,86.1815,103.645,120.144,145.729,
soc,82,73,89,99,94,
f1,f2,first_soc,front
140.346,73.5801,93,24
time,3.72,26.0284,87.193,
soc,99,98,84,
f1,f2,first_soc,front
145.688,54.4352,83,24
time,24.12,76.8035,122.944,
soc,88,100,90,
f1,f2,first_soc,front
144.126,72.6227,92,24
time,6.44,17.3585,64.8687,87.23,
soc,88,100,62,96,
f1,f2,first_soc,front
159.719,53.0335,80,24
time,1,43.9965,66.544,106.509,128.71,
soc,87,46,93,91,98,
f1,f2,first_soc,front
152.355,54.5474,97,25
time,25.48,42.5595,99.395,
soc,83,94,96,
f1,f2,first_soc,front
141.588,78.8938,89,25
time,1,13.4282,31.7346,65.6828,79.5754,113.156,
soc,95,96,99,90,96,69,
f1,f2,first_soc,front
148.974,60.0336,81,25
time,40.44,59.8391,86.9661,117.747,
soc,43,75,96,95,
f1,f2,first_soc,front
146.543,70.2055,80,25
time,1,38.0357,45.3893,62.2601,84.3047,
soc,100,73,82,76,99,
f1,f2,first_soc,front
145.865,73.3752,92,25
time,13.24,55.5963,74.3833,119.213,
soc,98,62,99,93,
f1,f2,first_soc,front
166.164,67.0618,83,26
time,2.36,27.8462,40.2243,81.145,102.677,151.969,
soc,97,86,79,36,99,99,
f1,f2,first_soc,front
143.932,85.5565,86,26
time,7.8,57.2682,92.2223,104.555,
soc,96,91,95,100,
f1,f2,first_soc,front
154.177,78.7272,97,26
time,5.08,19.7535,74.4319,131.801,
soc,95,92,94,95,
f1,f2,first_soc,front
173.851,88.2307,86,27
time,5.08,19.5294,36.1255,52.4127,59.8428,108.736,145.137,
soc,96,100,97,93,98,74,95,
第1世代
f1,f2,first_soc,front
115.159,0,80,0
time,29.56,47.9142,
soc,48,80,
f1,f2,first_soc,front
106.446,18.5167,96,0
time,22.76,30.8951,34.8836,72.8722,
soc,69,71,73,37,
f1,f2,first_soc,front
107.26,8.67529,95,0
time,35,52.0116,
soc,59,77,
f1,f2,first_soc,front
111.452,1.73468,83,0
time,30.92,39.1603,
soc,34,78,
f1,f2,first_soc,front
110.386,7.38672,88,0
time,15.96,61.2365,
soc,79,55,
f1,f2,first_soc,front
117.194,0,80,1
time,15.96,43.2462,82.7315,89.5714,
soc,65,72,46,47,
f1,f2,first_soc,front
108.83,9.25789,96,1
time,20.04,26.6512,62.917,86.7589,
soc,68,75,48,37,
f1,f2,first_soc,front
113.464,6.94342,92,1
time,20.04,41.4561,60.4438,
soc,61,54,76,
f1,f2,first_soc,front
114.176,3.47091,86,1
time,22.76,56.6955,63.2424,
soc,67,31,62,
f1,f2,first_soc,front
109.815,8.67637,95,1
time,32.28,53.7128,
soc,59,75,
f1,f2,first_soc,front
115.371,1.15747,82,1
time,24.12,63.7482,
soc,80,73,
f1,f2,first_soc,front
118.704,0,80,2
time,11.88,39.1359,82.2358,89.2965,
soc,72,70,33,47,
f1,f2,first_soc,front
109.411,30.7446,98,2
time,51.32,60.8872,
soc,19,56,
f1,f2,first_soc,front
109.429,13.1752,91,2
time,24.12,80.768,93.1699,
soc,85,32,27,
f1,f2,first_soc,front
113.709,7.12031,81,2
time,24.12,70.0035,
soc,86,64,
f1,f2,first_soc,front
115.838,5.20862,89,2
time,24.12,43.5066,56.0881,
soc,55,37,73,
f1,f2,first_soc,front
132.764,0.578424,81,3
time,32.28,64.5136,107.18,116.886,
soc,61,78,56,60,
f1,f2,first_soc,front
109.599,34.4246,97,3
time,20.04,35.3922,70.8382,94.2405,
soc,89,96,54,24,
f1,f2,first_soc,front
119.696,1.8703,81,3
time,25.48,60.0052,80.3089,
soc,80,82,75,
f1,f2,first_soc,front
110.169,21.9259,96,3
time,22.76,61.2219,
soc,92,77,
f1,f2,first_soc,front
118.03,6.9491,92,3
time,18.68,40.9243,59.7915,
soc,65,47,78,
f1,f2,first_soc,front
115.735,8.94026,86,3
time,36.36,77.6803,
soc,85,73,
f1,f2,first_soc,front
115.131,13.8073,86,3
time,26.84,43.4361,84.6317,
soc,66,72,38,
f1,f2,first_soc,front
111.331,16.8866,96,3
time,24.12,60.2128,
soc,87,79,
f1,f2,first_soc,front
110.459,19.692,91,3
time,24.12,79.894,93.4834,
soc,92,40,27,
f1,f2,first_soc,front
115.038,14.978,88,3
time,44.52,94.9209,
soc,72,43,
f1,f2,first_soc,front
112.735,15.5059,92,3
time,45.88,70.3866,
soc,52,66,
f1,f2,first_soc,front
112.527,15.9773,96,3
time,22.76,60.386,
soc,87,79,
f1,f2,first_soc,front
138.86,0.713977,80,4
time,32.28,68.5936,102.36,123.855,
soc,60,55,56,64,
f1,f2,first_soc,front
110.112,83.8943,95,4
time,21.4,45.5767,
soc,96,99,
f1,f2,first_soc,front
110.184,24.3496,97,4
time,20.04,38.6569,71.3461,88.7427,
soc,82,92,63,41,
f1,f2,first_soc,front
134.643,1.41935,81,4
time,32.28,65.8736,107.167,117.232,
soc,61,81,56,59,
f1,f2,first_soc,front
128.118,2.89084,85,4
time,33.64,56.2647,79.2273,114.297,
soc,49,64,72,43,
f1,f2,first_soc,front
123.941,3.47624,86,4
time,11.88,46.1306,70.943,94.2597,
soc,73,56,68,64,
f1,f2,first_soc,front
110.568,21.2405,96,4
time,26.84,55.445,
soc,54,61,
f1,f2,first_soc,front
120.765,4.74657,83,4
time,37.72,93.8668,
soc,74,47,
f1,f2,first_soc,front
113.788,17.5261,88,4
time,45.88,
soc,72,
f1,f2,first_soc,front
115.926,12.4651,100,4
time,37.72,91.731,
soc,76,45,
f1,f2,first_soc,front
117.851,9.83005,97,4
time,40.44,76.8193,
soc,63,67,
f1,f2,first_soc,front
117.351,11.2505,91,4
time,30.92,71.5264,
soc,63,60,
f1,f2,first_soc,front
119.651,7.52559,93,4
time,21.4,53.1334,84.5467,
soc,72,61,61,
f1,f2,first_soc,front
119.27,8.34094,88,4
time,39.08,51.2712,
soc,30,82,
f1,f2,first_soc,front
115.363,16.2253,86,4
time,20.04,52.4912,70.5166,
soc,58,38,62,
f1,f2,first_soc,front
114.167,17.3219,94,4
time,3.72,21.1005,57.9457,
soc,92,84,75,
f1,f2,first_soc,front
115.22,16.4278,98,4
time,1,49.0757,80.111,
soc,100,61,60,
f1,f2,first_soc,front
128.295,2.89084,85,5
time,33.64,53.0001,80.2329,119.904,
soc,56,67,71,41,
f1,f2,first_soc,front
110.566,71.174,96,5
time,11.88,43.5468,63.0483,
soc,92,84,84,
f1,f2,first_soc,front
110.846,23.4949,99,5
time,51.32,84.3934,
soc,45,41,
f1,f2,first_soc,front
126.499,5.50205,86,5
time,14.6,48.5094,106.379,
soc,73,75,44,
f1,f2,first_soc,front
117.426,13.9885,91,5
time,29.56,71.5757,
soc,87,79,
f1,f2,first_soc,front
113.27,22.6992,98,5
time,51.32,62.5575,
soc,25,66,
f1,f2,first_soc,front
123.017,6.18621,82,5
time,30.92,63.2112,
soc,51,74,
f1,f2,first_soc,front
122.035,7.52204,93,5
time,20.04,56.1817,87.1253,
soc,75,56,61,
f1,f2,first_soc,front
115.426,19.1183,100,5
time,49.96,95.3674,
soc,62,44,
f1,f2,first_soc,front
119.795,8.66341,87,5
time,39.08,102.169,
soc,84,42,
f1,f2,first_soc,front
119.694,12.9578,92,5
time,44.52,77.5148,
soc,55,68,
f1,f2,first_soc,front
115.237,20.1284,98,5
time,49.96,71.1613,108.038,
soc,39,59,29,
f1,f2,first_soc,front
129.28,2.90428,81,6
time,28.2,44.1229,62.682,91.7793,
soc,60,72,83,79,
f1,f2,first_soc,front
111.459,26.9507,96,6
time,1,23.2357,63.7257,87.2171,
soc,98,74,48,45,
f1,f2,first_soc,front
119.957,12.9076,82,6
time,41.8,83.2928,
soc,80,75,
f1,f2,first_soc,front
115.545,20.7197,100,6
time,18.68,47.5296,84.6139,
soc,78,89,74,
f1,f2,first_soc,front
117.755,14.978,88,6
time,44.52,61.5843,
soc,41,79,
f1,f2,first_soc,front
124.047,7.87162,80,6
time,33.64,85.9108,100.272,107.171,
soc,65,30,28,37,
f1,f2,first_soc,front
124.724,6.52613,85,6
time,36.36,54.7979,82.2663,113.92,
